Ensembl Gene ID	Ensembl Transcript ID	Description
ENSONIG00000010936	ENSONIT00000013768	syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2) [Source:HGNC Symbol;Acc:HGNC:11169]
ENSONIG00000010937	ENSONIT00000013769	si:dkeyp-14d3.1 [Source:ZFIN;Acc:ZDB-GENE-081104-459]
ENSONIG00000010937	ENSONIT00000013770	si:dkeyp-14d3.1 [Source:ZFIN;Acc:ZDB-GENE-081104-459]
ENSONIG00000010938	ENSONIT00000013771	vacuolar protein sorting 4a (yeast) [Source:ZFIN;Acc:ZDB-GENE-060929-388]
ENSONIG00000010939	ENSONIT00000013772	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013762}  [Source:UniProtKB/TrEMBL;Acc:I3JY17]
ENSONIG00000010940	ENSONIT00000013773	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013764}  [Source:UniProtKB/TrEMBL;Acc:I3JY19]
ENSONIG00000010940	ENSONIT00000013774	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013764}  [Source:UniProtKB/TrEMBL;Acc:I3JY19]
ENSONIG00000010941	ENSONIT00000013775	solute carrier family 15, member 4 [Source:ZFIN;Acc:ZDB-GENE-040426-1047]
ENSONIG00000010942	ENSONIT00000013776	cyclin-dependent kinase 10 [Source:ZFIN;Acc:ZDB-GENE-050417-94]
ENSONIG00000010943	ENSONIT00000013777	glycosyltransferase 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26483]
ENSONIG00000010944	ENSONIT00000013778	junction plakoglobin b [Source:ZFIN;Acc:ZDB-GENE-110407-10]
ENSONIG00000010944	ENSONIT00000013779	junction plakoglobin b [Source:ZFIN;Acc:ZDB-GENE-110407-10]
ENSONIG00000010945	ENSONIT00000013780	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013770}  [Source:UniProtKB/TrEMBL;Acc:I3JY25]
ENSONIG00000010945	ENSONIT00000013781	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013770}  [Source:UniProtKB/TrEMBL;Acc:I3JY25]
ENSONIG00000010946	ENSONIT00000013782	chromatin modifying protein 1A [Source:ZFIN;Acc:ZDB-GENE-040426-1474]
ENSONIG00000010947	ENSONIT00000013783	glutaredoxin 2 [Source:ZFIN;Acc:ZDB-GENE-040718-101]
ENSONIG00000010948	ENSONIT00000013784	solute carrier family 10 (sodium/bile acid cotransporter family), member 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2347]
ENSONIG00000010949	ENSONIT00000013785	Fanconi anemia, complementation group A [Source:HGNC Symbol;Acc:HGNC:3582]
ENSONIG00000010949	ENSONIT00000013786	Fanconi anemia, complementation group A [Source:HGNC Symbol;Acc:HGNC:3582]
ENSONIG00000010950	ENSONIT00000013787	ubiquitin carboxyl-terminal hydrolase L5 [Source:ZFIN;Acc:ZDB-GENE-040426-2051]
ENSONIG00000010951	ENSONIT00000013788	piwi-like 1 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030813-2]
ENSONIG00000010952	ENSONIT00000013789	immunoglobulin heavy variable 14-1 [Source:ZFIN;Acc:ZDB-GENE-040514-42]
ENSONIG00000010952	ENSONIT00000013790	immunoglobulin heavy variable 14-1 [Source:ZFIN;Acc:ZDB-GENE-040514-42]
ENSONIG00000010953	ENSONIT00000013791	immunoglobulin heavy variable 1-4 [Source:ZFIN;Acc:ZDB-GENE-040514-1]
ENSONIG00000010954	ENSONIT00000013792	regulator of G-protein signaling 2 [Source:ZFIN;Acc:ZDB-GENE-040718-410]
ENSONIG00000010955	ENSONIT00000013793	immunoglobulin heavy variable 1-4 [Source:ZFIN;Acc:ZDB-GENE-040514-1]
ENSONIG00000010956	ENSONIT00000013794	si:ch211-117l17.5 [Source:ZFIN;Acc:ZDB-GENE-110914-230]
ENSONIG00000010957	ENSONIT00000013795	family with sequence similarity 98, member A [Source:ZFIN;Acc:ZDB-GENE-091202-6]
ENSONIG00000010958	ENSONIT00000013796	si:ch211-117l17.6 [Source:ZFIN;Acc:ZDB-GENE-110914-213]
ENSONIG00000010959	ENSONIT00000013797	zinc finger protein 276 [Source:HGNC Symbol;Acc:HGNC:23330]
ENSONIG00000010959	ENSONIT00000013798	zinc finger protein 276 [Source:HGNC Symbol;Acc:HGNC:23330]
ENSONIG00000010960	ENSONIT00000013799	regulator of G-protein signaling 1 [Source:ZFIN;Acc:ZDB-GENE-070705-145]
ENSONIG00000010961	ENSONIT00000013800	RIMS binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-040724-96]
ENSONIG00000010961	ENSONIT00000013801	RIMS binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-040724-96]
ENSONIG00000010961	ENSONIT00000013802	RIMS binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-040724-96]
ENSONIG00000010962	ENSONIT00000013803	bone morphogenetic protein/retinoic acid inducible neural-specific 3 [Source:HGNC Symbol;Acc:HGNC:22393]
ENSONIG00000010963	ENSONIT00000013804	cadherin 6 [Source:ZFIN;Acc:ZDB-GENE-050320-92]
ENSONIG00000010964	ENSONIT00000013805	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013795}  [Source:UniProtKB/TrEMBL;Acc:I3JY50]
ENSONIG00000010965	ENSONIT00000013806	BTB (POZ) domain containing 10a [Source:ZFIN;Acc:ZDB-GENE-070410-41]
ENSONIG00000010966	ENSONIT00000013807	syntaxin 2b [Source:ZFIN;Acc:ZDB-GENE-091204-424]
ENSONIG00000010966	ENSONIT00000013808	syntaxin 2b [Source:ZFIN;Acc:ZDB-GENE-091204-424]
ENSONIG00000010967	ENSONIT00000013809	THAP domain containing 9 [Source:HGNC Symbol;Acc:HGNC:23192]
ENSONIG00000010968	ENSONIT00000013810	bone morphogenetic protein/retinoic acid inducible neural-specific 3a [Source:ZFIN;Acc:ZDB-GENE-080218-16]
ENSONIG00000010969	ENSONIT00000013811	regulator of G-protein signaling 8 [Source:ZFIN;Acc:ZDB-GENE-040718-264]
ENSONIG00000010970	ENSONIT00000013812	aryl hydrocarbon receptor nuclear translocator-like 1a [Source:ZFIN;Acc:ZDB-GENE-000509-1]
ENSONIG00000010970	ENSONIT00000013813	aryl hydrocarbon receptor nuclear translocator-like 1a [Source:ZFIN;Acc:ZDB-GENE-000509-1]
ENSONIG00000010971	ENSONIT00000013814	regulator of G-protein signaling 16 [Source:ZFIN;Acc:ZDB-GENE-050417-393]
ENSONIG00000010971	ENSONIT00000013815	regulator of G-protein signaling 16 [Source:ZFIN;Acc:ZDB-GENE-050417-393]
ENSONIG00000010972	ENSONIT00000013816	G protein-coupled receptor 133 [Source:HGNC Symbol;Acc:HGNC:19893]
ENSONIG00000010972	ENSONIT00000013817	G protein-coupled receptor 133 [Source:HGNC Symbol;Acc:HGNC:19893]
ENSONIG00000010973	ENSONIT00000013818	regulator of G-protein signaling 5a [Source:ZFIN;Acc:ZDB-GENE-030131-7570]
ENSONIG00000010974	ENSONIT00000013819	phosducin [Source:HGNC Symbol;Acc:HGNC:8759]
ENSONIG00000010975	ENSONIT00000013820	dickkopf homolog 3b (Xenopus laevis) [Source:ZFIN;Acc:ZDB-GENE-061207-74]
ENSONIG00000010976	ENSONIT00000013821	fatty acyl CoA reductase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2908]
ENSONIG00000010976	ENSONIT00000013822	fatty acyl CoA reductase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2908]
ENSONIG00000010977	ENSONIT00000013823	DEP domain containing 5 [Source:ZFIN;Acc:ZDB-GENE-091204-356]
ENSONIG00000010978	ENSONIT00000013824	regulator of G-protein signalling 4 [Source:ZFIN;Acc:ZDB-GENE-030131-9839]
ENSONIG00000010979	ENSONIT00000013825	major facilitator superfamily domain containing 12a [Source:ZFIN;Acc:ZDB-GENE-030131-4642]
ENSONIG00000010980	ENSONIT00000013826	unc-51-like kinase 1a (C. elegans) [Source:ZFIN;Acc:ZDB-GENE-080723-31]
ENSONIG00000010980	ENSONIT00000013827	unc-51-like kinase 1a (C. elegans) [Source:ZFIN;Acc:ZDB-GENE-080723-31]
ENSONIG00000010981	ENSONIT00000013828	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013818}  [Source:UniProtKB/TrEMBL;Acc:I3JY73]
ENSONIG00000010982	ENSONIT00000013829	fetuin B [Source:ZFIN;Acc:ZDB-GENE-050208-4]
ENSONIG00000010983	ENSONIT00000013830	ovochymase 2 [Source:ZFIN;Acc:ZDB-GENE-061207-75]
ENSONIG00000010983	ENSONIT00000013831	ovochymase 2 [Source:ZFIN;Acc:ZDB-GENE-061207-75]
ENSONIG00000010984	ENSONIT00000013832	fetuin B [Source:ZFIN;Acc:ZDB-GENE-050208-4]
ENSONIG00000010984	ENSONIT00000013833	fetuin B [Source:ZFIN;Acc:ZDB-GENE-050208-4]
ENSONIG00000010985	ENSONIT00000013834	cytochrome b5 reductase 2 [Source:ZFIN;Acc:ZDB-GENE-060825-83]
ENSONIG00000010986	ENSONIT00000013835	mitochondrial ribosomal protein L37 [Source:ZFIN;Acc:ZDB-GENE-050309-20]
ENSONIG00000010987	ENSONIT00000013836	E1A binding protein p400 [Source:HGNC Symbol;Acc:HGNC:11958]
ENSONIG00000010988	ENSONIT00000013837	fetuin B [Source:ZFIN;Acc:ZDB-GENE-050208-4]
ENSONIG00000010989	ENSONIT00000013838	fetuin B [Source:HGNC Symbol;Acc:HGNC:3658]
ENSONIG00000010989	ENSONIT00000013839	fetuin B [Source:HGNC Symbol;Acc:HGNC:3658]
ENSONIG00000010990	ENSONIT00000013840	acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156]
ENSONIG00000010991	ENSONIT00000013841	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013832}  [Source:UniProtKB/TrEMBL;Acc:I3JY87]
ENSONIG00000010991	ENSONIT00000013842	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013832}  [Source:UniProtKB/TrEMBL;Acc:I3JY87]
ENSONIG00000010992	ENSONIT00000013843	nuclear receptor co-repressor 2 [Source:ZFIN;Acc:ZDB-GENE-030616-81]
ENSONIG00000010993	ENSONIT00000013844	KDEL (Lys-Asp-Glu-Leu) containing 2 [Source:ZFIN;Acc:ZDB-GENE-060810-142]
ENSONIG00000010994	ENSONIT00000013845	elongation factor-1, delta, b [Source:ZFIN;Acc:ZDB-GENE-030131-6544]
ENSONIG00000010994	ENSONIT00000013846	elongation factor-1, delta, b [Source:ZFIN;Acc:ZDB-GENE-030131-6544]
ENSONIG00000010995	ENSONIT00000013847	family with sequence similarity 151, member A [Source:ZFIN;Acc:ZDB-GENE-070705-105]
ENSONIG00000010996	ENSONIT00000013848	protein tyrosine phosphatase, receptor-type, F interacting protein, binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-040718-54]
ENSONIG00000010997	ENSONIT00000013849	WD repeat domain 78 [Source:ZFIN;Acc:ZDB-GENE-050522-322]
ENSONIG00000010997	ENSONIT00000013850	WD repeat domain 78 [Source:ZFIN;Acc:ZDB-GENE-050522-322]
ENSONIG00000010998	ENSONIT00000013851	protein tyrosine phosphatase, receptor-type, F interacting protein, binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-040718-54]
ENSONIG00000010999	ENSONIT00000013852	microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24693]
ENSONIG00000011000	ENSONIT00000013853	pyrroline-5-carboxylate reductase-like [Source:ZFIN;Acc:ZDB-GENE-041014-244]
ENSONIG00000011001	ENSONIT00000013854	CDC14 cell division cycle 14 homolog A, a [Source:ZFIN;Acc:ZDB-GENE-040426-1214]
ENSONIG00000011002	ENSONIT00000013855	tissue specific transplantation antigen P35B [Source:ZFIN;Acc:ZDB-GENE-040722-1]
ENSONIG00000011003	ENSONIT00000013856	xenotropic and polytropic retrovirus receptor 1 [Source:HGNC Symbol;Acc:HGNC:12827]
ENSONIG00000011003	ENSONIT00000013857	xenotropic and polytropic retrovirus receptor 1 [Source:HGNC Symbol;Acc:HGNC:12827]
ENSONIG00000011004	ENSONIT00000013858	family with sequence similarity 101, member A [Source:ZFIN;Acc:ZDB-GENE-030616-80]
ENSONIG00000011005	ENSONIT00000013859	coiled-coil domain containing 92 [Source:ZFIN;Acc:ZDB-GENE-051113-120]
ENSONIG00000011006	ENSONIT00000013860	CHMP family, member 7 [Source:ZFIN;Acc:ZDB-GENE-040426-1750]
ENSONIG00000011007	ENSONIT00000013861	parvin, alpha a [Source:ZFIN;Acc:ZDB-GENE-040721-2]
ENSONIG00000011008	ENSONIT00000013862	serpin peptidase inhibitor, clade B (ovalbumin), member 1 [Source:HGNC Symbol;Acc:HGNC:3311]
ENSONIG00000011009	ENSONIT00000013863	serpin peptidase inhibitor, clade B (ovalbumin), member 1 [Source:HGNC Symbol;Acc:HGNC:3311]
ENSONIG00000011010	ENSONIT00000013864	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013854}  [Source:UniProtKB/TrEMBL;Acc:I3JYA9]
ENSONIG00000011011	ENSONIT00000013865	leucine-rich repeat LGI family, member 3 [Source:ZFIN;Acc:ZDB-GENE-060217-4]
ENSONIG00000011012	ENSONIT00000013866	fibroblast growth factor receptor 1a [Source:ZFIN;Acc:ZDB-GENE-980526-255]
ENSONIG00000011012	ENSONIT00000013867	fibroblast growth factor receptor 1a [Source:ZFIN;Acc:ZDB-GENE-980526-255]
ENSONIG00000011013	ENSONIT00000013868	TEA domain family member 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2101]
ENSONIG00000011013	ENSONIT00000013869	TEA domain family member 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2101]
ENSONIG00000011014	ENSONIT00000013870	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013860}  [Source:UniProtKB/TrEMBL;Acc:I3JYB5]
ENSONIG00000011015	ENSONIT00000013871	aspartate beta-hydroxylase [Source:ZFIN;Acc:ZDB-GENE-031112-5]
ENSONIG00000011016	ENSONIT00000013872	AT rich interactive domain 4A (RBP1-like) [Source:ZFIN;Acc:ZDB-GENE-050809-105]
ENSONIG00000011017	ENSONIT00000013873	BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIBb [Source:ZFIN;Acc:ZDB-GENE-030131-6248]
ENSONIG00000011018	ENSONIT00000013874	Ras association (RalGDS/AF-6) domain family (N-terminal) member 10a [Source:ZFIN;Acc:ZDB-GENE-091013-4]
ENSONIG00000011019	ENSONIT00000013875	ankyrin repeat domain 39 [Source:ZFIN;Acc:ZDB-GENE-081104-153]
ENSONIG00000011020	ENSONIT00000013876	olfactomedin-like 1 [Source:HGNC Symbol;Acc:HGNC:24473]
ENSONIG00000011021	ENSONIT00000013877	potassium channel tetramerization domain containing 9 [Source:HGNC Symbol;Acc:HGNC:22401]
ENSONIG00000011022	ENSONIT00000013878	alpha-2-macroglobulin-like 1 [Source:HGNC Symbol;Acc:HGNC:23336]
ENSONIG00000011023	ENSONIT00000013879	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013869}  [Source:UniProtKB/TrEMBL;Acc:I3JYC4]
ENSONIG00000011024	ENSONIT00000013880	neuropeptide Y receptor Y8b [Source:ZFIN;Acc:ZDB-GENE-980526-208]
ENSONIG00000011025	ENSONIT00000013881	kelch-like 22 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-081104-154]
ENSONIG00000011026	ENSONIT00000013882	synaptotagmin IXb [Source:ZFIN;Acc:ZDB-GENE-040822-6]
ENSONIG00000011027	ENSONIT00000013883	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013873}  [Source:UniProtKB/TrEMBL;Acc:I3JYC8]
ENSONIG00000011028	ENSONIT00000013884	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013874}  [Source:UniProtKB/TrEMBL;Acc:I3JYC9]
ENSONIG00000011029	ENSONIT00000013885	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 [Source:ZFIN;Acc:ZDB-GENE-070912-156]
ENSONIG00000011029	ENSONIT00000013886	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 [Source:ZFIN;Acc:ZDB-GENE-070912-156]
ENSONIG00000011030	ENSONIT00000013887	T-box gene 16 [Source:ZFIN;Acc:ZDB-GENE-990615-5]
ENSONIG00000011031	ENSONIT00000013888	proteasome (prosome, macropain) subunit, alpha type, 3 [Source:ZFIN;Acc:ZDB-GENE-050913-120]
ENSONIG00000011032	ENSONIT00000013889	spondin 1b [Source:ZFIN;Acc:ZDB-GENE-000427-10]
ENSONIG00000011033	ENSONIT00000013890	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013880}  [Source:UniProtKB/TrEMBL;Acc:I3JYD5]
ENSONIG00000011034	ENSONIT00000013891	calcineurin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:24187]
ENSONIG00000011034	ENSONIT00000013892	calcineurin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:24187]
ENSONIG00000011035	ENSONIT00000013893	KIAA1549-like a [Source:ZFIN;Acc:ZDB-GENE-061207-55]
ENSONIG00000011036	ENSONIT00000013894	homeodomain interacting protein kinase 3a [Source:ZFIN;Acc:ZDB-GENE-061207-54]
ENSONIG00000011037	ENSONIT00000013895	sorting nexin 6 [Source:ZFIN;Acc:ZDB-GENE-050913-152]
ENSONIG00000011038	ENSONIT00000013896	neurofilament, light polypeptide b [Source:ZFIN;Acc:ZDB-GENE-060312-44]
ENSONIG00000011039	ENSONIT00000013897	dedicator of cytokinesis 5 [Source:ZFIN;Acc:ZDB-GENE-080108-4]
ENSONIG00000011039	ENSONIT00000013898	dedicator of cytokinesis 5 [Source:ZFIN;Acc:ZDB-GENE-080108-4]
ENSONIG00000011040	ENSONIT00000013899	t-complex 11 (mouse)-like 1 [Source:ZFIN;Acc:ZDB-GENE-050327-11]
ENSONIG00000011040	ENSONIT00000013900	t-complex 11 (mouse)-like 1 [Source:ZFIN;Acc:ZDB-GENE-050327-11]
ENSONIG00000011041	ENSONIT00000013901	aarF domain containing kinase 1 [Source:ZFIN;Acc:ZDB-GENE-080401-5]
ENSONIG00000011041	ENSONIT00000013902	aarF domain containing kinase 1 [Source:ZFIN;Acc:ZDB-GENE-080401-5]
ENSONIG00000011041	ENSONIT00000013903	aarF domain containing kinase 1 [Source:ZFIN;Acc:ZDB-GENE-080401-5]
ENSONIG00000011042	ENSONIT00000013904	DEP domain containing 7 [Source:HGNC Symbol;Acc:HGNC:29899]
ENSONIG00000011043	ENSONIT00000013905	wilms tumor 1b [Source:ZFIN;Acc:ZDB-GENE-050420-319]
ENSONIG00000011044	ENSONIT00000013906	neurexin 3a [Source:ZFIN;Acc:ZDB-GENE-070206-9]
ENSONIG00000011044	ENSONIT00000013907	neurexin 3a [Source:ZFIN;Acc:ZDB-GENE-070206-9]
ENSONIG00000011045	ENSONIT00000013908	HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:HGNC:24368]
ENSONIG00000011045	ENSONIT00000013909	HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:HGNC:24368]
ENSONIG00000011046	ENSONIT00000013910	zinc finger protein 703 [Source:HGNC Symbol;Acc:HGNC:25883]
ENSONIG00000011046	ENSONIT00000013911	zinc finger protein 703 [Source:HGNC Symbol;Acc:HGNC:25883]
ENSONIG00000011047	ENSONIT00000013912	GRAM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24911]
ENSONIG00000011048	ENSONIT00000013913	TNF receptor-associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]
ENSONIG00000011048	ENSONIT00000013914	TNF receptor-associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]
ENSONIG00000011049	ENSONIT00000013915	V-set and immunoglobulin domain containing 8b [Source:ZFIN;Acc:ZDB-GENE-081104-51]
ENSONIG00000011050	ENSONIT00000013916	SNF related kinase b [Source:ZFIN;Acc:ZDB-GENE-040426-1724]
ENSONIG00000011051	ENSONIT00000013917	anoctamin 10b [Source:ZFIN;Acc:ZDB-GENE-061013-169]
ENSONIG00000011051	ENSONIT00000013918	anoctamin 10b [Source:ZFIN;Acc:ZDB-GENE-061013-169]
ENSONIG00000011052	ENSONIT00000013919	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]
ENSONIG00000011053	ENSONIT00000013920	leucine rich repeat transmembrane neuronal 4 like 2 [Source:ZFIN;Acc:ZDB-GENE-080327-14]
ENSONIG00000011053	ENSONIT00000013921	leucine rich repeat transmembrane neuronal 4 like 2 [Source:ZFIN;Acc:ZDB-GENE-080327-14]
ENSONIG00000011054	ENSONIT00000013922	leucine rich repeat transmembrane neuronal 4 [Source:HGNC Symbol;Acc:HGNC:19411]
ENSONIG00000011054	ENSONIT00000013923	leucine rich repeat transmembrane neuronal 4 [Source:HGNC Symbol;Acc:HGNC:19411]
ENSONIG00000011055	ENSONIT00000013924	anaphase promoting complex subunit 5 [Source:ZFIN;Acc:ZDB-GENE-030131-1574]
ENSONIG00000011056	ENSONIT00000013925	fatty acid 2-hydroxylase [Source:ZFIN;Acc:ZDB-GENE-031219-4]
ENSONIG00000011056	ENSONIT00000013926	fatty acid 2-hydroxylase [Source:ZFIN;Acc:ZDB-GENE-031219-4]
ENSONIG00000011057	ENSONIT00000013927	SET domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-030131-9137]
ENSONIG00000011057	ENSONIT00000013928	SET domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-030131-9137]
ENSONIG00000011057	ENSONIT00000013929	SET domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-030131-9137]
ENSONIG00000011058	ENSONIT00000013930	casein kinase 2 alpha 2b [Source:ZFIN;Acc:ZDB-GENE-090406-4]
ENSONIG00000011059	ENSONIT00000013931	gamma-glutamyltransferase 1a [Source:ZFIN;Acc:ZDB-GENE-040426-1388]
ENSONIG00000011060	ENSONIT00000013932	B-cell CLL/lymphoma 11Ba (zinc finger protein) [Source:ZFIN;Acc:ZDB-GENE-061207-62]
ENSONIG00000011060	ENSONIT00000013933	B-cell CLL/lymphoma 11Ba (zinc finger protein) [Source:ZFIN;Acc:ZDB-GENE-061207-62]
ENSONIG00000011061	ENSONIT00000013934	zinc finger protein 319 [Source:ZFIN;Acc:ZDB-GENE-090406-2]
ENSONIG00000011061	ENSONIT00000013935	zinc finger protein 319 [Source:ZFIN;Acc:ZDB-GENE-090406-2]
ENSONIG00000011062	ENSONIT00000013936	pogo transposable element with KRAB domain [Source:HGNC Symbol;Acc:HGNC:18800]
ENSONIG00000011063	ENSONIT00000013937	U6 snRNA biogenesis 1 [Source:ZFIN;Acc:ZDB-GENE-040801-197]
ENSONIG00000011064	ENSONIT00000013938	vaccinia related kinase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2709]
ENSONIG00000011065	ENSONIT00000013939	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013929}  [Source:UniProtKB/TrEMBL;Acc:I3JYI4]
ENSONIG00000011066	ENSONIT00000013940	phospholipase A2, group XV [Source:ZFIN;Acc:ZDB-GENE-030131-6948]
ENSONIG00000011067	ENSONIT00000013941	family with sequence similarity 211, member Ba [Source:ZFIN;Acc:ZDB-GENE-081104-225]
ENSONIG00000011068	ENSONIT00000013942	gamma-glutamyltransferase 5a [Source:ZFIN;Acc:ZDB-GENE-080226-1]
ENSONIG00000011069	ENSONIT00000013943	lecithin-cholesterol acyltransferase [Source:ZFIN;Acc:ZDB-GENE-010716-3]
ENSONIG00000011070	ENSONIT00000013944	gamma-glutamyltransferase 5a [Source:ZFIN;Acc:ZDB-GENE-080226-1]
ENSONIG00000011071	ENSONIT00000013945	microtubule associated serine/threonine kinase family member 4 [Source:ZFIN;Acc:ZDB-GENE-070912-336]
ENSONIG00000011071	ENSONIT00000013946	microtubule associated serine/threonine kinase family member 4 [Source:ZFIN;Acc:ZDB-GENE-070912-336]
ENSONIG00000011072	ENSONIT00000013947	DiGeorge syndrome critical region gene 8 [Source:ZFIN;Acc:ZDB-GENE-030131-3421]
ENSONIG00000011072	ENSONIT00000013948	DiGeorge syndrome critical region gene 8 [Source:ZFIN;Acc:ZDB-GENE-030131-3421]
ENSONIG00000011073	ENSONIT00000013949	ubiquitin-like modifier activating enzyme 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2681]
ENSONIG00000011074	ENSONIT00000013950	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013940}  [Source:UniProtKB/TrEMBL;Acc:I3JYJ5]
ENSONIG00000011075	ENSONIT00000013951	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013941}  [Source:UniProtKB/TrEMBL;Acc:I3JYJ6]
ENSONIG00000011076	ENSONIT00000013952	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013942}  [Source:UniProtKB/TrEMBL;Acc:I3JYJ7]
ENSONIG00000011077	ENSONIT00000013953	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013943}  [Source:UniProtKB/TrEMBL;Acc:I3JYJ8]
ENSONIG00000011077	ENSONIT00000013954	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013943}  [Source:UniProtKB/TrEMBL;Acc:I3JYJ8]
ENSONIG00000011078	ENSONIT00000013955	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013945}  [Source:UniProtKB/TrEMBL;Acc:I3JYK0]
ENSONIG00000011079	ENSONIT00000013956	trm2 tRNA methyltransferase 2 homolog A (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-6876]
ENSONIG00000011080	ENSONIT00000013957	splicing regulatory glutamine/lysine-rich protein 1 [Source:ZFIN;Acc:ZDB-GENE-040801-132]
ENSONIG00000011080	ENSONIT00000013958	splicing regulatory glutamine/lysine-rich protein 1 [Source:ZFIN;Acc:ZDB-GENE-040801-132]
ENSONIG00000011080	ENSONIT00000013959	splicing regulatory glutamine/lysine-rich protein 1 [Source:ZFIN;Acc:ZDB-GENE-040801-132]
ENSONIG00000011081	ENSONIT00000013960	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000013950}  [Source:UniProtKB/TrEMBL;Acc:I3JYK5]
ENSONIG00000011082	ENSONIT00000013961	carbonic anhydrase V [Source:ZFIN;Acc:ZDB-GENE-080220-57]
ENSONIG00000011083	ENSONIT00000013962	RAN binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2548]
ENSONIG00000011084	ENSONIT00000013963	erbb2 interacting protein [Source:ZFIN;Acc:ZDB-GENE-061103-403]
ENSONIG00000011085	ENSONIT00000013964	solute carrier family 7 (amino acid transporter light chain, L system), member 5 [Source:HGNC Symbol;Acc:HGNC:11063]
ENSONIG00000011086	ENSONIT00000013965	zinc finger, DHHC-type containing 8b [Source:ZFIN;Acc:ZDB-GENE-030407-3]
ENSONIG00000011087	ENSONIT00000013966	neurolysin (metallopeptidase M3 family) [Source:ZFIN;Acc:ZDB-GENE-041010-216]
ENSONIG00000011088	ENSONIT00000013967	phosphoglycerate mutase family member 5 [Source:ZFIN;Acc:ZDB-GENE-030131-683]
ENSONIG00000011088	ENSONIT00000013968	phosphoglycerate mutase family member 5 [Source:ZFIN;Acc:ZDB-GENE-030131-683]
ENSONIG00000011089	ENSONIT00000013969	kelch domain containing 4 [Source:ZFIN;Acc:ZDB-GENE-030131-2057]
ENSONIG00000011090	ENSONIT00000013970	ankyrin repeat and LEM domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6090]
ENSONIG00000011090	ENSONIT00000013971	ankyrin repeat and LEM domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6090]
